pair,pair_alt,pair_ws,left,right,decimal
AAVEAUD,AAVEAUD,AAVE/AUD,AAVE,ZAUD,8
AAVEETH,AAVEETH,AAVE/ETH,AAVE,XETH,8
AAVEEUR,AAVEEUR,AAVE/EUR,AAVE,ZEUR,8
AAVEGBP,AAVEGBP,AAVE/GBP,AAVE,ZGBP,8
AAVEUSD,AAVEUSD,AAVE/USD,AAVE,ZUSD,8
AAVEXBT,AAVEXBT,AAVE/XBT,AAVE,XXBT,8
ADAAUD,ADAAUD,ADA/AUD,ADA,ZAUD,8
ADAETH,ADAETH,ADA/ETH,ADA,XETH,8
ADAEUR,ADAEUR,ADA/EUR,ADA,ZEUR,8
ADAGBP,ADAGBP,ADA/GBP,ADA,ZGBP,8
ADAUSD,ADAUSD,ADA/USD,ADA,ZUSD,8
ADAUSDT,ADAUSDT,ADA/USDT,ADA,USDT,8
ADAXBT,ADAXBT,ADA/XBT,ADA,XXBT,8
ALGOETH,ALGOETH,ALGO/ETH,ALGO,XETH,8
ALGOEUR,ALGOEUR,ALGO/EUR,ALGO,ZEUR,8
ALGOGBP,ALGOGBP,ALGO/GBP,ALGO,ZGBP,8
ALGOUSD,ALGOUSD,ALGO/USD,ALGO,ZUSD,8
ALGOXBT,ALGOXBT,ALGO/XBT,ALGO,XXBT,8
ANKREUR,ANKREUR,ANKR/EUR,ANKR,ZEUR,8
ANKRGBP,ANKRGBP,ANKR/GBP,ANKR,ZGBP,8
ANKRUSD,ANKRUSD,ANKR/USD,ANKR,ZUSD,8
ANKRXBT,ANKRXBT,ANKR/XBT,ANKR,XXBT,8
ANTETH,ANTETH,ANT/ETH,ANT,XETH,8
ANTEUR,ANTEUR,ANT/EUR,ANT,ZEUR,8
ANTUSD,ANTUSD,ANT/USD,ANT,ZUSD,8
ANTXBT,ANTXBT,ANT/XBT,ANT,XXBT,8
ATOMAUD,ATOMAUD,ATOM/AUD,ATOM,ZAUD,8
ATOMETH,ATOMETH,ATOM/ETH,ATOM,XETH,8
ATOMEUR,ATOMEUR,ATOM/EUR,ATOM,ZEUR,8
ATOMGBP,ATOMGBP,ATOM/GBP,ATOM,ZGBP,8
ATOMUSD,ATOMUSD,ATOM/USD,ATOM,ZUSD,8
ATOMXBT,ATOMXBT,ATOM/XBT,ATOM,XXBT,8
AUDJPY,AUDJPY,AUD/JPY,ZAUD,ZJPY,8
AUDUSD,AUDUSD,AUD/USD,ZAUD,ZUSD,8
AXSEUR,AXSEUR,AXS/EUR,AXS,ZEUR,8
AXSUSD,AXSUSD,AXS/USD,AXS,ZUSD,8
BADGEREUR,BADGEREUR,BADGER/EUR,BADGER,ZEUR,8
BADGERUSD,BADGERUSD,BADGER/USD,BADGER,ZUSD,8
BALETH,BALETH,BAL/ETH,BAL,XETH,8
BALEUR,BALEUR,BAL/EUR,BAL,ZEUR,8
BALUSD,BALUSD,BAL/USD,BAL,ZUSD,8
BALXBT,BALXBT,BAL/XBT,BAL,XXBT,8
BATETH,BATETH,BAT/ETH,BAT,XETH,8
BATEUR,BATEUR,BAT/EUR,BAT,ZEUR,8
BATUSD,BATUSD,BAT/USD,BAT,ZUSD,8
BATXBT,BATXBT,BAT/XBT,BAT,XXBT,8
BCHAUD,BCHAUD,BCH/AUD,BCH,ZAUD,8
BCHETH,BCHETH,BCH/ETH,BCH,XETH,8
BCHEUR,BCHEUR,BCH/EUR,BCH,ZEUR,8
BCHGBP,BCHGBP,BCH/GBP,BCH,ZGBP,8
BCHJPY,BCHJPY,BCH/JPY,BCH,ZJPY,8
BCHUSD,BCHUSD,BCH/USD,BCH,ZUSD,8
BCHUSDT,BCHUSDT,BCH/USDT,BCH,USDT,8
BCHXBT,BCHXBT,BCH/XBT,BCH,XXBT,8
BNTEUR,BNTEUR,BNT/EUR,BNT,ZEUR,8
BNTGBP,BNTGBP,BNT/GBP,BNT,ZGBP,8
BNTUSD,BNTUSD,BNT/USD,BNT,ZUSD,8
BNTXBT,BNTXBT,BNT/XBT,BNT,XXBT,8
CHZEUR,CHZEUR,CHZ/EUR,CHZ,ZEUR,8
CHZUSD,CHZUSD,CHZ/USD,CHZ,ZUSD,8
COMPETH,COMPETH,COMP/ETH,COMP,XETH,8
COMPEUR,COMPEUR,COMP/EUR,COMP,ZEUR,8
COMPUSD,COMPUSD,COMP/USD,COMP,ZUSD,8
COMPXBT,COMPXBT,COMP/XBT,COMP,XXBT,8
CQTEUR,CQTEUR,CQT/EUR,CQT,ZEUR,8
CQTUSD,CQTUSD,CQT/USD,CQT,ZUSD,8
CRVETH,CRVETH,CRV/ETH,CRV,XETH,8
CRVEUR,CRVEUR,CRV/EUR,CRV,ZEUR,8
CRVUSD,CRVUSD,CRV/USD,CRV,ZUSD,8
CRVXBT,CRVXBT,CRV/XBT,CRV,XXBT,8
CTSIEUR,CTSIEUR,CTSI/EUR,CTSI,ZEUR,8
CTSIUSD,CTSIUSD,CTSI/USD,CTSI,ZUSD,8
DAIEUR,DAIEUR,DAI/EUR,DAI,ZEUR,8
DAIUSD,DAIUSD,DAI/USD,DAI,ZUSD,8
DAIUSDT,DAIUSDT,DAI/USDT,DAI,USDT,8
